iter	Passed	Remaining
543	1274	599
544	1276	597
545	1279	595
546	1281	592
547	1283	590
548	1285	587
549	1287	585
550	1289	582
551	1292	580
552	1294	578
553	1296	575
554	1298	573
555	1300	570
556	1302	568
557	1305	566
558	1307	563
559	1309	561
560	1311	558
561	1313	556
562	1315	553
563	1317	551
564	1319	548
565	1321	546
566	1323	544
567	1325	541
568	1328	539
569	1330	536
570	1332	534
571	1334	531
572	1336	529
573	1339	527
574	1341	524
575	1343	522
576	1345	520
577	1347	517
578	1349	515
579	1352	512
580	1354	510
581	1356	507
582	1358	505
583	1360	503
584	1362	500
585	1365	498
586	1367	496
587	1369	493
588	1371	491
589	1373	488
590	1375	486
591	1377	484
592	1379	481
593	1381	479
594	1384	476
595	1386	474
596	1388	472
597	1390	469
598	1393	467
599	1395	465
600	1397	462
601	1399	460
602	1401	457
603	1403	455
604	1405	453
605	1408	450
606	1410	448
607	1412	446
608	1414	443
609	1416	441
610	1418	438
611	1420	436
612	1423	434
613	1425	431
614	1427	429
615	1429	426
616	1431	424
617	1433	422
618	1435	419
619	1437	417
620	1440	415
621	1442	412
622	1443	410
623	1446	407
624	1448	405
625	1450	403
626	1452	400
627	1454	398
628	1456	396
629	1458	393
630	1460	391
631	1462	388
632	1465	386
633	1467	384
634	1469	381
635	1471	379
636	1473	377
637	1475	374
638	1477	372
639	1480	370
640	1481	367
641	1484	365
642	1486	362
643	1488	360
644	1490	358
645	1492	355
646	1495	353
647	1497	351
648	1499	348
649	1501	346
650	1503	344
651	1505	341
652	1507	339
653	1509	337
654	1511	334
655	1513	332
656	1515	329
657	1517	327
658	1519	325
659	1522	322
660	1524	320
661	1526	318
662	1528	315
663	1530	313
664	1532	311
665	1534	308
666	1536	306
667	1538	304
668	1541	301
669	1543	299
670	1545	297
671	1547	294
672	1549	292
673	1552	290
674	1554	287
675	1556	285
676	1559	283
677	1561	280
678	1563	278
679	1565	276
680	1568	274
681	1570	271
682	1572	269
683	1574	266
684	1576	264
685	1578	262
686	1580	259
687	1582	257
688	1584	255
689	1586	252
690	1589	250
691	1591	248
692	1593	246
693	1596	243
694	1598	241
695	1600	239
696	1602	236
697	1604	234
698	1606	232
699	1608	229
700	1610	227
701	1612	225
702	1614	222
703	1616	220
704	1618	218
705	1621	215
706	1623	213
707	1625	211
708	1627	208
709	1629	206
710	1631	204
711	1633	201
712	1635	199
713	1637	197
714	1640	194
715	1642	192
716	1644	190
717	1646	188
718	1648	185
719	1650	183
720	1653	181
721	1655	178
722	1657	176
723	1659	174
724	1661	171
725	1663	169
726	1665	167
727	1667	164
728	1669	162
729	1671	160
730	1673	158
731	1676	155
732	1678	153
733	1680	151
734	1682	148
735	1684	146
736	1686	144
737	1689	141
738	1690	139
739	1693	137
740	1695	134
741	1697	132
742	1699	130
743	1701	128
744	1703	125
745	1705	123
746	1707	121
747	1710	118
748	1712	116
749	1714	114
750	1716	112
751	1718	109
752	1720	107
753	1723	105
754	1725	102
755	1727	100
756	1729	98
757	1731	95
758	1733	93
759	1735	91
760	1737	89
761	1740	86
762	1742	84
763	1744	82
764	1746	79
765	1748	77
766	1750	75
767	1752	73
768	1754	70
769	1757	68
770	1759	66
771	1761	63
772	1763	61
773	1765	59
774	1767	57
775	1769	54
776	1771	52
777	1773	50
778	1776	47
779	1778	45
780	1780	43
781	1782	41
782	1784	38
783	1786	36
784	1789	34
785	1791	31
786	1793	29
787	1795	27
788	1797	25
789	1799	22
790	1801	20
791	1803	18
792	1806	15
793	1808	13
794	1810	11
795	1812	9
796	1814	6
797	1816	4
798	1818	2
799	1820	0
