iter	RMSE
374	0.4828023696
375	0.482716965
376	0.4826531524
377	0.4825901681
378	0.4824846602
379	0.4824689512
380	0.4823981456
381	0.48217874
382	0.482037089
383	0.4819659572
384	0.4818986827
385	0.4818707355
386	0.4817461694
387	0.4817246847
388	0.4816470118
389	0.4814537875
390	0.4813693427
391	0.481263846
392	0.4812465082
393	0.4811528856
394	0.4810885584
395	0.4810352607
396	0.4809738656
397	0.4809516294
398	0.4809393176
399	0.4807637893
400	0.4806616496
401	0.4804789274
402	0.4803585272
403	0.480300706
404	0.480192705
405	0.4801197412
406	0.4800002763
407	0.4799221684
408	0.4798654971
409	0.4797315751
410	0.4795035855
411	0.47948676
412	0.4793229761
413	0.4791408237
414	0.4788885931
415	0.4788336043
416	0.4787538854
417	0.4787345754
418	0.478682174
419	0.4785631783
420	0.4784926506
421	0.4784217358
422	0.4784065306
423	0.4783805471
424	0.4782973103
425	0.4781287857
426	0.4779775921
427	0.4778817332
428	0.4776697736
429	0.4775911993
430	0.4775417973
431	0.4773753956
432	0.4771935685
433	0.4771463209
434	0.4771322375
435	0.4769560879
436	0.4769131812
437	0.4767744441
438	0.4765807022
439	0.4764641152
440	0.476419465
441	0.4763214244
442	0.4761493219
443	0.4759784976
444	0.4758576811
445	0.4757387363
446	0.4755662662
447	0.4755182614
448	0.4754221766
449	0.4753300481
450	0.4752631254
451	0.4750558372
452	0.4750016249
453	0.4748171087
454	0.474621578
455	0.4745573132
456	0.4743729744
457	0.4742921748
458	0.4741938789
459	0.4740819996
460	0.4738947879
461	0.473644684
462	0.4735739713
463	0.4733477651
464	0.4731695594
465	0.4730778708
466	0.47305524
467	0.4728636869
468	0.4726276167
469	0.4726006294
470	0.4724748645
471	0.4723028421
472	0.4721202396
473	0.4719957702
474	0.4718912656
475	0.4717414082
476	0.471557501
477	0.4714732549
478	0.4713721646
479	0.4712176001
480	0.471043614
481	0.4709376803
482	0.4707623737
483	0.470623184
484	0.4704018641
485	0.470285216
486	0.4702181938
487	0.4701052129
488	0.4700323809
489	0.469853103
490	0.4697380788
491	0.4695753937
492	0.469481399
493	0.4692888769
494	0.4691916658
495	0.4690172806
496	0.4689569302
497	0.4688185475
498	0.4688041302
499	0.4686455237
500	0.4685244132
501	0.4684927048
502	0.468337165
503	0.4682191405
504	0.4680698155
505	0.4679981677
506	0.4678847867
507	0.4677543384
508	0.467594956
509	0.4674604536
510	0.4672917328
511	0.4672216503
512	0.4671558361
513	0.4671113402
514	0.4669658081
515	0.4669048632
516	0.4667406727
517	0.4665882159
518	0.4665379007
519	0.4663641156
520	0.4663459856
521	0.4662171739
522	0.4661777533
523	0.46593869
524	0.4659086627
525	0.4658422518
526	0.4658245467
527	0.4656802923
528	0.4655948861
529	0.465558487
530	0.4654560529
531	0.465423134
532	0.46538915
533	0.4653590205
534	0.4652985896
535	0.465173079
536	0.4651557779
537	0.4650160999
538	0.46490748
539	0.4647373391
540	0.4646589217
541	0.4646313481
542	0.4643920518
543	0.4642853487
544	0.464244696
545	0.4641963387
546	0.464179591
547	0.4641231284
548	0.4640032831
549	0.4638415257
550	0.4637136332
551	0.4636508976
552	0.4635673765
553	0.4634269595
554	0.4634088428
555	0.4632911173
556	0.463197496
557	0.4631213631
558	0.4630960329
559	0.4629722275
560	0.4628392124
561	0.4628241823
562	0.4627284572
563	0.4625834194
564	0.4624154749
565	0.4623124858
566	0.4622042494
567	0.4620879456
568	0.4618893114
569	0.4618082047
570	0.461591596
571	0.4614620057
572	0.4613234476
573	0.4612401383
574	0.4612142318
575	0.461039086
576	0.4609593412
577	0.4608262177
578	0.4606852048
579	0.4605554215
580	0.4604926801
581	0.4604772716
582	0.460389613
583	0.4602772507
584	0.4600727936
585	0.4599512727
586	0.4597744451
587	0.45965164
588	0.4594712632
589	0.4594128809
590	0.4592678494
591	0.459162997
592	0.4591469796
593	0.4590500857
594	0.4589468176
595	0.4588214811
596	0.4588064695
597	0.4587086051
598	0.4586054423
599	0.4585334645
600	0.4583743647
601	0.4583497884
602	0.4582204526
603	0.4580883779
604	0.4579273906
605	0.4578014578
606	0.457708534
607	0.4576501488
608	0.4575544526
609	0.457420776
610	0.4572663509
611	0.4571541461
612	0.4570551651
613	0.4569562067
614	0.4569335927
615	0.4568194359
616	0.4567570776
617	0.456710194
618	0.4565898799
619	0.4564521918
620	0.4563320087
621	0.4562177583
622	0.4562039495
623	0.4561172169
624	0.4560406602
625	0.4559702002
626	0.4558518249
627	0.4557330805
628	0.4556463555
629	0.4554021017
630	0.4553314259
631	0.4552665075
632	0.4552243568
633	0.4550543963
634	0.4549475207
635	0.4549070934
636	0.4548815224
637	0.4547541817
638	0.4546738371
639	0.4546291331
640	0.4546172988
641	0.4544715967
642	0.4543110994
643	0.4541737381
644	0.4541190369
645	0.4540919609
646	0.4539455124
647	0.4538581645
648	0.4538137436
649	0.4537274126
650	0.4536250545
651	0.4533827026
652	0.4532691528
653	0.4532473376
654	0.4531942266
655	0.4530768203
656	0.4529768928
657	0.4528610441
658	0.4527440113
659	0.4526840894
660	0.452631692
661	0.4525310725
662	0.4525161663
663	0.4524228706
664	0.4522768232
665	0.4521302525
666	0.4520640303
667	0.4519967809
668	0.4519824737
669	0.4519084021
670	0.4517218873
671	0.4515904951
672	0.45150881
673	0.4514343668
674	0.4513561764
675	0.4513394535
676	0.4512042794
677	0.4511232676
678	0.4510211984
679	0.4509713624
680	0.4508815505
681	0.450823299
682	0.4506817163
683	0.4506699179
684	0.4505062906
685	0.4504258376
686	0.4503586074
687	0.4503311031
688	0.4502573314
689	0.4501116421
690	0.4500038301
691	0.4498557366
692	0.4497649073
693	0.449609382
694	0.44950022
695	0.4493682535
696	0.4492807297
697	0.449242417
698	0.4491837152
699	0.4491572576
700	0.4491086756
701	0.4490845771
702	0.4490608808
703	0.4490214562
704	0.4489371429
705	0.4487990695
706	0.4487735677
707	0.4486713684
708	0.4486023409
709	0.4485925188
710	0.4484890312
711	0.4483374453
712	0.4482555059
713	0.4481022234
714	0.4480319965
715	0.4479253423
716	0.4478421579
717	0.447786969
718	0.4477623853
719	0.4477320189
720	0.447651206
721	0.4475599838
722	0.4475146764
723	0.4474888568
724	0.4474368613
725	0.4473749245
726	0.4471537343
727	0.4471266691
728	0.4471036591
729	0.4469297827
730	0.4468267607
731	0.4467384676
732	0.4466003511
733	0.4465661858
734	0.4465089699
735	0.4464312954
736	0.446342779
737	0.4462812749
738	0.4462788539
739	0.4462688131
740	0.4462438061
741	0.446200809
742	0.4460927904
743	0.4460248431
744	0.4460149415
745	0.4460127689
746	0.446003061
747	0.4458857447
748	0.4457823658
749	0.445666084
750	0.4456104
751	0.4455063184
752	0.4454411606
753	0.4452695071
754	0.4451756532
755	0.4449967948
756	0.4449021236
757	0.4448702349
758	0.4447618938
759	0.4446919405
760	0.4445999935
761	0.444516956
762	0.444395894
763	0.4442963024
764	0.4441707191
765	0.4441399387
766	0.4440005936
767	0.4438957479
768	0.4437665069
769	0.4436580869
770	0.4436060125
771	0.4434837162
772	0.4434178996
773	0.4433610598
774	0.4432599885
775	0.4430901475
776	0.4429586362
777	0.4428029498
778	0.4426859244
779	0.4426774019
780	0.4424741831
781	0.4424152444
782	0.4422203005
783	0.4420379556
784	0.4419386967
785	0.4419153263
786	0.4418550796
787	0.4418256575
788	0.4417338821
789	0.4416739
790	0.4415503377
791	0.4415482398
792	0.4414500164
793	0.4413762886
794	0.4412792589
795	0.4411686541
796	0.4410949426
797	0.4410257569
798	0.4409204711
799	0.4408842127
